DIAMETER,DISPLACEMENT,TIME
1.644566297531128,2.5446548461914062,0.886588454246521
1.6442909240722656,2.5447564125061035,0.8866239190101624
1.6440155506134033,2.54485821723938,0.8866593837738037
1.643740177154541,2.5449600219726562,0.8866948485374451
1.6434648036956787,2.5450618267059326,0.8867303133010864
1.6431901454925537,2.545163631439209,0.8867657780647278
1.642915964126587,2.5452654361724854,0.8868012428283691
1.6426417827606201,2.5453672409057617,0.8868367075920105
1.6423676013946533,2.545469045639038,0.8868721723556519
1.6420941352844238,2.5455708503723145,0.8869076371192932
1.6418211460113525,2.5456724166870117,0.8869431018829346
1.6415481567382812,2.545774221420288,0.8869785666465759
1.64127516746521,2.5458760261535645,0.8870140314102173
1.6410021781921387,2.545977830886841,0.8870494961738586
1.6407301425933838,2.546079635620117,0.8870849609375
1.640458345413208,2.5461814403533936,0.8871204257011414
1.6401865482330322,2.54628324508667,0.8871558904647827
1.6399147510528564,2.546384811401367,0.8871913552284241
1.6396429538726807,2.5464866161346436,0.8872268199920654
1.6393711566925049,2.54658842086792,0.8872622847557068
1.6391000747680664,2.5466902256011963,0.8872977495193481
1.6388294696807861,2.5467920303344727,0.8873332142829895
1.6385588645935059,2.54689359664917,0.8873686790466309
1.6382882595062256,2.5469954013824463,0.8874041438102722
1.6380176544189453,2.5470972061157227,0.8874396085739136
1.6377472877502441,2.547199010848999,0.8874750733375549
1.6374778747558594,2.5473008155822754,0.8875105381011963
1.6372084617614746,2.5474026203155518,0.8875460028648376
1.6369390487670898,2.547504425048828,0.887581467628479
1.636669635772705,2.5476062297821045,0.8876169323921204
1.6364002227783203,2.547708034515381,0.8876523971557617
1.636132001876831,2.547809600830078,0.8876878619194031
1.6358637809753418,2.5479114055633545,0.8877233266830444
1.6355955600738525,2.548013210296631,0.8877587914466858
1.6353273391723633,2.5481150150299072,0.8877942562103271
1.635059118270874,2.5482168197631836,0.8878297209739685
1.6347908973693848,2.54831862449646,0.8878651857376099
1.6345226764678955,2.5484204292297363,0.8879006505012512
1.6342556476593018,2.5485219955444336,0.8879361152648926
1.633988618850708,2.54862380027771,0.8879715800285339
1.6337215900421143,2.5487256050109863,0.8880070447921753
1.6334545612335205,2.5488274097442627,0.8880425095558167
1.6331875324249268,2.548929214477539,0.888077974319458
1.632920503616333,2.5490310192108154,0.8881134390830994
1.6326544284820557,2.549132823944092,0.8881489038467407
1.6323885917663574,2.549234628677368,0.8881843686103821
1.6321227550506592,2.5493364334106445,0.8882198333740234
1.631856918334961,2.549437999725342,0.8882552981376648
1.6315910816192627,2.549539804458618,0.8882907629013062
1.6313252449035645,2.5496416091918945,0.8883262276649475
1.6310594081878662,2.549743413925171,0.8883616924285889
1.630793571472168,2.5498452186584473,0.8883971571922302
1.630528211593628,2.5499470233917236,0.8884326219558716
1.6302635669708252,2.550048828125,0.8884680867195129
1.6299989223480225,2.5501503944396973,0.8885035514831543
1.6297342777252197,2.5502521991729736,0.8885390162467957
1.629469633102417,2.55035400390625,0.888574481010437
1.6292049884796143,2.5504558086395264,0.8886099457740784
1.6289408206939697,2.5505576133728027,0.8886454105377197
1.6286773681640625,2.550659418106079,0.8886808753013611
1.6284139156341553,2.5507612228393555,0.8887163400650024
1.628150463104248,2.550863027572632,0.8887518048286438
1.6278870105743408,2.550964832305908,0.8887872695922852
1.6276235580444336,2.5510663986206055,0.8888227343559265
1.6273601055145264,2.551168203353882,0.8888581991195679
1.6270966529846191,2.551270008087158,0.8888936638832092
1.626833200454712,2.5513718128204346,0.8889291286468506
1.6265697479248047,2.551473617553711,0.8889645934104919
1.6263062953948975,2.5515754222869873,0.8890000581741333
1.6260428428649902,2.5516772270202637,0.8890355229377747
1.6257805824279785,2.551778793334961,0.889070987701416
1.6255183219909668,2.5518805980682373,0.8891064524650574
1.625256061553955,2.5519824028015137,0.8891419172286987
1.6249938011169434,2.55208420753479,0.8891773819923401
1.6247315406799316,2.5521860122680664,0.8892128467559814
1.62446928024292,2.5522878170013428,0.8892483115196228
1.6242070198059082,2.552389621734619,0.8892837762832642
1.6239447593688965,2.5524914264678955,0.8893192410469055
1.6236836910247803,2.5525929927825928,0.8893547058105469
1.623422622680664,2.552694797515869,0.8893901705741882
1.6231615543365479,2.5527966022491455,0.8894256353378296
1.6229004859924316,2.552898406982422,0.889461100101471
1.6226394176483154,2.5530002117156982,0.8894965648651123
1.6223783493041992,2.5531020164489746,0.8895320296287537
1.622117280960083,2.553203582763672,0.889567494392395
1.6218562126159668,2.5533053874969482,0.8896029591560364
1.6215951442718506,2.5534071922302246,0.8896384239196777
1.6213340759277344,2.553508996963501,0.8896738886833191
1.6210730075836182,2.5536108016967773,0.8897093534469604
1.620811939239502,2.5537126064300537,0.8897448182106018
1.620551586151123,2.55381441116333,0.8897802829742432
1.6202917098999023,2.5539162158966064,0.8898157477378845
1.6200318336486816,2.554018020629883,0.8898512125015259
1.619771957397461,2.55411958694458,0.8898866772651672
1.619511604309082,2.5542213916778564,0.8899221420288086
1.6192505359649658,2.554323196411133,0.88995760679245
1.6189894676208496,2.554425001144409,0.8899930715560913
1.618729591369629,2.5545268058776855,0.8900285363197327
1.6184697151184082,2.554628610610962,0.890064001083374
1.6182098388671875,2.5547304153442383,0.8900994658470154
1.6179499626159668,2.5548319816589355,0.8901349306106567
1.617690086364746,2.554933786392212,0.8901703953742981
1.6174302101135254,2.5550355911254883,0.8902058601379395
1.6171703338623047,2.5551373958587646,0.8902413249015808
1.616910457611084,2.555239200592041,0.8902767896652222
1.6166505813598633,2.5553410053253174,0.8903122544288635
1.6163907051086426,2.5554428100585938,0.8903477191925049
1.6161308288574219,2.55554461479187,0.8903831839561462
1.6158709526062012,2.5556464195251465,0.8904186487197876
1.6156110763549805,2.5557479858398438,0.890454113483429
1.6153512001037598,2.55584979057312,0.8904895782470703
1.615091323852539,2.5559515953063965,0.8905250430107117
1.6148314476013184,2.556053400039673,0.890560507774353
1.6145715713500977,2.556155204772949,0.8905959725379944
1.614311695098877,2.5562570095062256,0.8906314373016357
1.6140518188476562,2.556358814239502,0.8906669020652771
1.6137919425964355,2.556460380554199,0.8907023668289185
1.6135320663452148,2.5565621852874756,0.8907378315925598
1.6132721900939941,2.556663990020752,0.8907732963562012
1.6130123138427734,2.5567657947540283,0.8908087611198425
1.6127524375915527,2.5568675994873047,0.8908442258834839
1.6124937534332275,2.556969404220581,0.8908796906471252
1.6122350692749023,2.5570712089538574,0.8909151554107666
1.6119763851165771,2.557173013687134,0.890950620174408
1.611717700958252,2.55727481842041,0.8909860849380493
1.6114590167999268,2.5573763847351074,0.8910215497016907
1.6112003326416016,2.557478189468384,0.891057014465332
1.6109416484832764,2.55757999420166,0.8910924792289734
1.6106829643249512,2.5576817989349365,0.8911279439926147
1.610424280166626,2.557783603668213,0.8911634087562561
1.6101655960083008,2.5578854084014893,0.8911988735198975
1.6099069118499756,2.5579872131347656,0.8912343382835388
1.6096482276916504,2.558088779449463,0.8912698030471802
1.6093895435333252,2.5581905841827393,0.8913052678108215
1.609130859375,2.5582923889160156,0.8913407325744629
1.6088721752166748,2.558394193649292,0.8913761973381042
1.6086134910583496,2.5584959983825684,0.8914116621017456
1.6083548069000244,2.5585978031158447,0.891447126865387
1.6080961227416992,2.558699607849121,0.8914825916290283
1.607837438583374,2.5588014125823975,0.8915180563926697
1.6075787544250488,2.558903217315674,0.891553521156311
1.6073200702667236,2.55900502204895,0.8915889859199524
1.6070613861083984,2.5591068267822266,0.8916244506835938
1.6068027019500732,2.559208393096924,0.8916599154472351
1.606544017791748,2.5593101978302,0.8916953802108765
1.6062853336334229,2.5594120025634766,0.8917308449745178
1.6060266494750977,2.559513807296753,0.8917663097381592
1.6057679653167725,2.5596156120300293,0.8918017745018005
1.6055092811584473,2.5597174167633057,0.8918372392654419
1.605250597000122,2.559819221496582,0.8918727040290833
1.6049919128417969,2.5599207878112793,0.8919081687927246
1.6047332286834717,2.5600225925445557,0.891943633556366
1.6044745445251465,2.560124397277832,0.8919790983200073
1.6042158603668213,2.5602262020111084,0.8920145630836487
1.603957176208496,2.5603280067443848,0.89205002784729
1.603698492050171,2.560429811477661,0.8920854926109314
1.6034398078918457,2.5605316162109375,0.8921209573745728
1.6031811237335205,2.560633420944214,0.8921564221382141
1.6029224395751953,2.5607352256774902,0.8921918869018555
1.6026637554168701,2.5608367919921875,0.8922273516654968
1.602405071258545,2.560938596725464,0.8922628164291382
1.6021463871002197,2.5610404014587402,0.8922982811927795
1.6018877029418945,2.5611422061920166,0.8923337459564209
1.6016290187835693,2.561244010925293,0.8923692107200623
1.6013703346252441,2.5613458156585693,0.8924046754837036
1.601111650466919,2.5614476203918457,0.892440140247345
1.6008529663085938,2.561549186706543,0.8924756050109863
1.6005942821502686,2.5616509914398193,0.8925110697746277
