JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
112,1.50487,1.07433,2.24133,0.311,0.12075,0.06882,0.00142,0.10166,24.01944,1.91271,47.50448,48.46083,2.5,111.55789
113,1.39666,1.03021,1.91742,0.39969,0.11783,0.04164,0.00139,0.14211,22.95086,1.72485,45.48624,46.34867,2.5,109.76361
114,1.30768,1.00213,2.36118,0.30657,0.13822,0.07836,0.0013,0.01338,23.76106,1.95437,46.91567,47.89286,2.5,102.00884
115,1.37245,1.08054,2.11044,0.30798,0.18751,0.08497,0.00145,0.03458,29.26461,2.29668,57.89227,59.04061,2.5,100.15473
116,1.41957,1.02244,2.48008,0.35391,0.14976,0.06286,0.00146,0.08176,24.41199,1.88176,48.33163,49.27251,2.5,99.99974
117,1.04154,0.97888,1.47762,0.35321,0.14067,0.03584,0.00136,0.01346,22.78523,1.69342,45.17945,46.02616,2.5,103.47785
118,1.12963,0.92395,2.10173,0.34553,0.18267,0.05989,0.00142,535.02939,4.22221,1.85253,6.74323,7.6695,2.5,103.50144
119,1.23014,0.97302,2.51741,0.3549,0.19056,0.05787,0.0015,0.04598,21.75566,1.90737,42.82895,43.78263,2.5,105.29488
120,1.34655,0.91174,2.54003,0.32594,0.16666,0.0592,0.00133,0.02695,23.39349,1.93396,46.18035,47.14734,2.5,125.74375
121,1.30318,1.06405,2.25475,0.30249,0.17622,0.07277,0.00132,0.01259,24.7697,2.11708,48.8239,49.88244,2.5,101.74311
122,1.30745,0.95699,2.51744,0.34149,0.10961,0.044,0.00144,0.04614,22.77028,1.72794,45.11465,45.97862,2.5,99.60349
123,1.57849,1.04484,0.99631,0.30084,0.17308,0.03666,0.00134,315.98739,9.75476,1.98145,18.01256,19.00328,2.5,103.05014
124,1.42198,1.08271,1.90039,0.29822,0.17198,0.06418,0.00139,0.00578,22.76123,2.14501,44.65615,45.72866,2.5,101.87686
125,1.41657,0.94156,1.8888,0.34294,0.17781,0.07958,0.00149,0.04958,21.8852,2.07122,42.91879,43.9544,2.5,103.48072
126,1.0727,1.04163,2.14233,0.32592,0.1731,0.0553,0.00133,0.00184,21.40099,1.84697,42.16906,43.09255,2.5,108.90846
127,1.07059,1.05564,1.87121,0.28663,0.10208,0.05192,0.00144,313.41904,13.00851,1.72624,24.98436,25.84748,2.5,102.74566
128,0.95979,1.0838,2.50056,0.37566,0.17234,0.05316,0.00144,0.07417,19.51705,1.74397,38.3879,39.25989,2.5,99.87725
129,0.94988,0.99543,2.47354,0.3585,0.12337,0.06984,0.0013,0.00076,20.22854,1.66972,39.93488,40.76974,2.5,100.00855
130,1.43172,1.03992,1.29878,0.38467,0.14808,0.07811,0.00133,777.01272,4.13264,1.80798,6.60818,7.51217,2.5,108.54626
131,1.55741,1.03534,1.22036,0.28393,0.11707,0.08758,0.00146,271.77609,10.75307,2.08671,19.95334,20.9967,2.5,105.0823
132,1.36371,0.96926,2.27593,0.32971,0.19606,0.0846,0.00141,0.07514,26.43601,2.17866,52.18842,53.27775,2.5,101.58896
133,0.91905,1.07671,2.46994,0.27899,0.17081,0.0361,0.00132,0.08641,19.87837,1.78645,39.09478,39.988,2.5,101.65567
134,1.40153,0.94693,2.27575,0.28053,0.1285,0.06768,0.00132,0.0325,27.00556,2.002,53.55864,54.55964,2.5,98.91578
135,1.33901,0.91461,2.12995,0.25833,0.18012,0.06919,0.00134,149.93927,23.65722,2.27176,46.36458,47.50046,2.5,99.99183
136,1.32681,1.03121,2.0904,0.38965,0.11005,0.03272,0.00138,151.14915,20.02554,1.7007,39.48877,40.33912,2.5,99.18079
137,1.24424,1.03584,2.16111,0.34988,0.14867,0.03344,0.00139,148.77468,18.44978,1.75385,36.18697,37.0639,2.5,99.75268
138,0.91744,1.04982,0.95341,0.2856,0.19695,0.03872,0.00135,150.13904,17.34003,1.80712,33.8369,34.74046,2.5,102.85455
