DISPLACEMENT,FORCE,STRAIN,STRESS,TRUE_STRAIN,TRUE_STRESS
1.112499938,6.015394061,0.08899999504,478.6898497268901,,
1.12958335,5.99955253,0.09036666800000001,477.42922074449336,,
1.148750063,5.982877577,0.09190000504000001,476.10227014660586,,
1.16583335,5.960366165,0.093266668,474.3108688987167,,
1.185208313,5.943691211,0.09481666504,472.98391822125177,,
1.204583275,5.924514489,0.096366662,471.4578831719522,,
1.222499963,5.903670922,0.09779999704,469.79920481209365,,
1.240833388,5.884494201,0.09926667104,468.27316984237154,,
1.260416625,5.858648098,0.10083333,466.21640231631545,,
1.278125,5.833635417,0.10225,464.2259564057501,,
1.297916625,5.808622737,0.10383333,462.2355105747622,,
1.314166625,5.780274866,0.10513333,459.9796586768715,,
1.3325,5.752760917,0.1066,457.79016818320736,,
1.35229175,5.726914314,0.10818334,455.73336086841545,,
